,,corr
lot_frontage,lot_frontage,1.0
garage_type_missing,garage_finish_missing,1.0
garage_type_missing,garage_type_missing,1.0
fireplace_qu_missing,fireplace_qu_missing,1.0
screen_porch,screen_porch,1.0
enclosed_porch,enclosed_porch,1.0
open_porch_sq_ft,open_porch_sq_ft,1.0
wood_deck_sq_ft,wood_deck_sq_ft,1.0
garage_area,garage_area,1.0
garage_cars,garage_cars,1.0
fireplaces,fireplaces,1.0
tot_rooms_above_ground,tot_rooms_above_ground,1.0
kitchen_above_ground,kitchen_above_ground,1.0
bedroom_above_ground,bedroom_above_ground,1.0
half_bath,half_bath,1.0
full_bath,full_bath,1.0
basement_full_bath,basement_full_bath,1.0
ground_liv_area,ground_liv_area,1.0
2nd_floor_sq_ft,2nd_floor_sq_ft,1.0
1st_floor_sq_ft,1st_floor_sq_ft,1.0
total_basement_sq_ft,total_basement_sq_ft,1.0
basement_unf_sq_ft,basement_unf_sq_ft,1.0
basement_finished_sq_ft_1,basement_finished_sq_ft_1,1.0
garage_type_missing,garage_year_built_missing,1.0
garage_type_missing,garage_quality_missing,1.0
overall_quality,overall_quality,1.0
garage_type_missing,garage_condition_missing,1.0
age_garage_when_sold,age_garage_when_sold,1.0
garage_condition_missing,garage_condition_missing,1.0
garage_condition_missing,garage_quality_missing,1.0
garage_condition_missing,garage_finish_missing,1.0
garage_condition_missing,garage_year_built_missing,1.0
garage_condition_missing,garage_type_missing,1.0
garage_quality_missing,garage_condition_missing,1.0
garage_quality_missing,garage_quality_missing,1.0
garage_quality_missing,garage_finish_missing,1.0
garage_quality_missing,garage_year_built_missing,1.0
garage_quality_missing,garage_type_missing,1.0
garage_finish_missing,garage_condition_missing,1.0
garage_finish_missing,garage_quality_missing,1.0
garage_finish_missing,garage_finish_missing,1.0
garage_finish_missing,garage_year_built_missing,1.0
garage_finish_missing,garage_type_missing,1.0
garage_year_built_missing,garage_condition_missing,1.0
garage_year_built_missing,garage_quality_missing,1.0
garage_year_built_missing,garage_finish_missing,1.0
garage_year_built_missing,garage_year_built_missing,1.0
garage_year_built_missing,garage_type_missing,1.0
masonry_veneer_area,masonry_veneer_area,1.0
age_house_when_sold,age_house_when_sold,1.0
lot_area,lot_area,1.0
fireplaces,fireplace_qu_missing,0.9004572893254431
fireplace_qu_missing,fireplaces,0.9004572893254431
garage_cars,garage_area,0.882475414281462
garage_area,garage_cars,0.882475414281462
ground_liv_area,tot_rooms_above_ground,0.8254893743088425
tot_rooms_above_ground,ground_liv_area,0.8254893743088425
1st_floor_sq_ft,total_basement_sq_ft,0.8195299750050339
total_basement_sq_ft,1st_floor_sq_ft,0.8195299750050339
2nd_floor_sq_ft,ground_liv_area,0.6875010641666033
ground_liv_area,2nd_floor_sq_ft,0.6875010641666033
tot_rooms_above_ground,bedroom_above_ground,0.676619935742649
bedroom_above_ground,tot_rooms_above_ground,0.676619935742649
basement_finished_sq_ft_1,basement_full_bath,0.6492117535742649
basement_full_bath,basement_finished_sq_ft_1,0.6492117535742649
age_garage_when_sold,age_house_when_sold,0.6430226669711968
age_house_when_sold,age_garage_when_sold,0.6430226669711968
full_bath,ground_liv_area,0.6300116462511148
ground_liv_area,full_bath,0.6300116462511148
tot_rooms_above_ground,2nd_floor_sq_ft,0.6164226354915431
2nd_floor_sq_ft,tot_rooms_above_ground,0.6164226354915431
half_bath,2nd_floor_sq_ft,0.6097073002717436
2nd_floor_sq_ft,half_bath,0.6097073002717436
garage_cars,overall_quality,0.6006707165907149
overall_quality,garage_cars,0.6006707165907149
overall_quality,ground_liv_area,0.5930074300286512
ground_liv_area,overall_quality,0.5930074300286512
garage_cars,age_garage_when_sold,0.5902444435010913
age_garage_when_sold,garage_cars,0.5902444435010913
garage_cars,garage_condition_missing,0.573287276474483
garage_cars,garage_year_built_missing,0.573287276474483
garage_condition_missing,garage_cars,0.573287276474483
garage_cars,garage_quality_missing,0.573287276474483
garage_cars,garage_finish_missing,0.573287276474483
garage_quality_missing,garage_cars,0.573287276474483
garage_cars,garage_type_missing,0.573287276474483
garage_year_built_missing,garage_cars,0.573287276474483
garage_finish_missing,garage_cars,0.573287276474483
garage_type_missing,garage_cars,0.573287276474483
ground_liv_area,1st_floor_sq_ft,0.5660239689357486
1st_floor_sq_ft,ground_liv_area,0.5660239689357486
garage_area,age_garage_when_sold,0.5651217296110695
age_garage_when_sold,garage_area,0.5651217296110695
overall_quality,garage_area,0.5620217566126083
garage_area,overall_quality,0.5620217566126083
full_bath,tot_rooms_above_ground,0.5547842535334836
tot_rooms_above_ground,full_bath,0.5547842535334836
age_house_when_sold,overall_quality,0.5524975216705662
overall_quality,age_house_when_sold,0.5524975216705662
overall_quality,full_bath,0.5505997093682543
full_bath,overall_quality,0.5505997093682543
age_garage_when_sold,overall_quality,0.5479795465985008
overall_quality,age_garage_when_sold,0.5479795465985008
overall_quality,total_basement_sq_ft,0.5378084986123907
total_basement_sq_ft,overall_quality,0.5378084986123907
garage_area,garage_condition_missing,0.5363330077786217
garage_area,garage_year_built_missing,0.5363330077786217
garage_area,garage_finish_missing,0.5363330077786217
garage_area,garage_quality_missing,0.5363330077786217
garage_area,garage_type_missing,0.5363330077786217
garage_type_missing,garage_area,0.5363330077786217
garage_condition_missing,garage_area,0.5363330077786217
garage_quality_missing,garage_area,0.5363330077786217
